ano,organização,sigla,SG_nome,país
2000,Office of the United Nations High Commissioner for Human Rights,OHCHR,"Robinson, Mary Therese Winifred",Irlanda
2001,Office of the United Nations High Commissioner for Human Rights,OHCHR,"Robinson, Mary Therese Winifred",Irlanda
2002,Office of the United Nations High Commissioner for Human Rights,OHCHR,"Vieira de Mello, Sérgio",Brasil
2003,Office of the United Nations High Commissioner for Human Rights,OHCHR,"Vieira de Mello, Sérgio",Brasil
2004,Office of the United Nations High Commissioner for Human Rights,OHCHR,"Arbour, Louise",Canadá
2005,Office of the United Nations High Commissioner for Human Rights,OHCHR,"Arbour, Louise",Canadá
2006,Office of the United Nations High Commissioner for Human Rights,OHCHR,"Arbour, Louise",Canadá
2007,Office of the United Nations High Commissioner for Human Rights,OHCHR,"Arbour, Louise",Canadá
2008,Office of the United Nations High Commissioner for Human Rights,OHCHR,"Pillay, Navanethem",África do Sul
2009,Office of the United Nations High Commissioner for Human Rights,OHCHR,"Pillay, Navanethem",África do Sul
2010,Office of the United Nations High Commissioner for Human Rights,OHCHR,"Pillay, Navanethem",África do Sul
2011,Office of the United Nations High Commissioner for Human Rights,OHCHR,"Pillay, Navanethem",África do Sul
2012,Office of the United Nations High Commissioner for Human Rights,OHCHR,"Pillay, Navanethem",África do Sul
2013,Office of the United Nations High Commissioner for Human Rights,OHCHR,"Pillay, Navanethem",África do Sul
2014,Office of the United Nations High Commissioner for Human Rights,OHCHR,"Al Hussein, Zeid Ra’ad",Jordânia
2015,Office of the United Nations High Commissioner for Human Rights,OHCHR,"Al Hussein, Zeid Ra’ad",Jordânia
2016,Office of the United Nations High Commissioner for Human Rights,OHCHR,"Al Hussein, Zeid Ra’ad",Jordânia
2017,Office of the United Nations High Commissioner for Human Rights,OHCHR,"Al Hussein, Zeid Ra’ad",Jordânia
1997,Organisation for the Prohibition of Chemical Weapons,OPCW,"Bustani, Jose Maurício de Figueiredo",Brasil
1998,Organisation for the Prohibition of Chemical Weapons,OPCW,"Bustani, Jose Maurício de Figueiredo",Brasil
1999,Organisation for the Prohibition of Chemical Weapons,OPCW,"Bustani, Jose Maurício de Figueiredo",Brasil
2000,Organisation for the Prohibition of Chemical Weapons,OPCW,"Bustani, Jose Maurício de Figueiredo",Brasil
2001,Organisation for the Prohibition of Chemical Weapons,OPCW,"Bustani, Jose Maurício de Figueiredo",Brasil
2002,Organisation for the Prohibition of Chemical Weapons,OPCW,"Pfirter, Rogelio",Argentina
2003,Organisation for the Prohibition of Chemical Weapons,OPCW,"Pfirter, Rogelio",Argentina
2004,Organisation for the Prohibition of Chemical Weapons,OPCW,"Pfirter, Rogelio",Argentina
2005,Organisation for the Prohibition of Chemical Weapons,OPCW,"Pfirter, Rogelio",Argentina
2006,Organisation for the Prohibition of Chemical Weapons,OPCW,"Pfirter, Rogelio",Argentina
2007,Organisation for the Prohibition of Chemical Weapons,OPCW,"Pfirter, Rogelio",Argentina
2008,Organisation for the Prohibition of Chemical Weapons,OPCW,"Pfirter, Rogelio",Argentina
2009,Organisation for the Prohibition of Chemical Weapons,OPCW,"Pfirter, Rogelio",Argentina
2010,Organisation for the Prohibition of Chemical Weapons,OPCW,"Üzümcü, Ahmet",Turquia
2011,Organisation for the Prohibition of Chemical Weapons,OPCW,"Üzümcü, Ahmet",Turquia
2012,Organisation for the Prohibition of Chemical Weapons,OPCW,"Üzümcü, Ahmet",Turquia
2013,Organisation for the Prohibition of Chemical Weapons,OPCW,"Üzümcü, Ahmet",Turquia
2014,Organisation for the Prohibition of Chemical Weapons,OPCW,"Üzümcü, Ahmet",Turquia
2015,Organisation for the Prohibition of Chemical Weapons,OPCW,"Üzümcü, Ahmet",Turquia
2016,Organisation for the Prohibition of Chemical Weapons,OPCW,"Üzümcü, Ahmet",Turquia
2017,Organisation for the Prohibition of Chemical Weapons,OPCW,"Üzümcü, Ahmet",Turquia
1975,United Nations,UN,"Waldheim, Kurt",Áustria
1976,United Nations,UN,"Waldheim, Kurt",Áustria
1977,United Nations,UN,"Waldheim, Kurt",Áustria
1978,United Nations,UN,"Waldheim, Kurt",Áustria
1979,United Nations,UN,"Waldheim, Kurt",Áustria
1980,United Nations,UN,"Waldheim, Kurt",Áustria
1981,United Nations,UN,"Waldheim, Kurt",Áustria
1982,United Nations,UN,"Pérez de Cuéllar, Javier",Peru
1983,United Nations,UN,"Pérez de Cuéllar, Javier",Peru
1984,United Nations,UN,"Pérez de Cuéllar, Javier",Peru
1985,United Nations,UN,"Pérez de Cuéllar, Javier",Peru
1986,United Nations,UN,"Pérez de Cuéllar, Javier",Peru
1987,United Nations,UN,"Pérez de Cuéllar, Javier",Peru
1988,United Nations,UN,"Pérez de Cuéllar, Javier",Peru
1989,United Nations,UN,"Pérez de Cuéllar, Javier",Peru
1990,United Nations,UN,"Pérez de Cuéllar, Javier",Peru
1991,United Nations,UN,"Pérez de Cuéllar, Javier",Peru
1992,United Nations,UN,"Boutros-Ghali, Boutros",Egito
1993,United Nations,UN,"Boutros-Ghali, Boutros",Egito
1994,United Nations,UN,"Boutros-Ghali, Boutros",Egito
1995,United Nations,UN,"Boutros-Ghali, Boutros",Egito
1996,United Nations,UN,"Boutros-Ghali, Boutros",Egito
1997,United Nations,UN,"Annan, Kofi",Gana
1998,United Nations,UN,"Annan, Kofi",Gana
1999,United Nations,UN,"Annan, Kofi",Gana
2000,United Nations,UN,"Annan, Kofi",Gana
2001,United Nations,UN,"Annan, Kofi",Gana
2002,United Nations,UN,"Annan, Kofi",Gana
2003,United Nations,UN,"Annan, Kofi",Gana
2004,United Nations,UN,"Annan, Kofi",Gana
2005,United Nations,UN,"Annan, Kofi",Gana
2006,United Nations,UN,"Annan, Kofi",Gana
2007,United Nations,UN,Ban Ki-moon,Coréia do Sul
2008,United Nations,UN,Ban Ki-moon,Coréia do Sul
2009,United Nations,UN,Ban Ki-moon,Coréia do Sul
2010,United Nations,UN,Ban Ki-moon,Coréia do Sul
2011,United Nations,UN,Ban Ki-moon,Coréia do Sul
2012,United Nations,UN,Ban Ki-moon,Coréia do Sul
2013,United Nations,UN,Ban Ki-moon,Coréia do Sul
2014,United Nations,UN,Ban Ki-moon,Coréia do Sul
2015,United Nations,UN,Ban Ki-moon,Coréia do Sul
2016,United Nations,UN,Ban Ki-moon,Coréia do Sul
2017,United Nations,UN,"Guterres, António",Portugal
1975,United Nations Conference on Trade and Development,UNCTAD,"Corea, Gamani",Sri Lanka
1976,United Nations Conference on Trade and Development,UNCTAD,"Corea, Gamani",Sri Lanka
1977,United Nations Conference on Trade and Development,UNCTAD,"Corea, Gamani",Sri Lanka
1978,United Nations Conference on Trade and Development,UNCTAD,"Corea, Gamani",Sri Lanka
1979,United Nations Conference on Trade and Development,UNCTAD,"Corea, Gamani",Sri Lanka
1980,United Nations Conference on Trade and Development,UNCTAD,"Corea, Gamani",Sri Lanka
1981,United Nations Conference on Trade and Development,UNCTAD,"Corea, Gamani",Sri Lanka
1982,United Nations Conference on Trade and Development,UNCTAD,"Corea, Gamani",Sri Lanka
1983,United Nations Conference on Trade and Development,UNCTAD,"Corea, Gamani",Sri Lanka
1984,United Nations Conference on Trade and Development,UNCTAD,"Corea, Gamani",Sri Lanka
1986,United Nations Conference on Trade and Development,UNCTAD,"Dadzie, Kenneth K.S",Gana
1987,United Nations Conference on Trade and Development,UNCTAD,"Dadzie, Kenneth K.S",Gana
1988,United Nations Conference on Trade and Development,UNCTAD,"Dadzie, Kenneth K.S",Gana
1989,United Nations Conference on Trade and Development,UNCTAD,"Dadzie, Kenneth K.S",Gana
1990,United Nations Conference on Trade and Development,UNCTAD,"Dadzie, Kenneth K.S",Gana
1991,United Nations Conference on Trade and Development,UNCTAD,"Dadzie, Kenneth K.S",Gana
1992,United Nations Conference on Trade and Development,UNCTAD,"Dadzie, Kenneth K.S",Gana
1993,United Nations Conference on Trade and Development,UNCTAD,"Dadzie, Kenneth K.S",Gana
1994,United Nations Conference on Trade and Development,UNCTAD,"Dadzie, Kenneth K.S",Gana
1995,United Nations Conference on Trade and Development,UNCTAD,"Ricupero, Rubens",Brasil
1996,United Nations Conference on Trade and Development,UNCTAD,"Ricupero, Rubens",Brasil
1997,United Nations Conference on Trade and Development,UNCTAD,"Ricupero, Rubens",Brasil
1998,United Nations Conference on Trade and Development,UNCTAD,"Ricupero, Rubens",Brasil
1999,United Nations Conference on Trade and Development,UNCTAD,"Ricupero, Rubens",Brasil
2000,United Nations Conference on Trade and Development,UNCTAD,"Ricupero, Rubens",Brasil
2001,United Nations Conference on Trade and Development,UNCTAD,"Ricupero, Rubens",Brasil
2002,United Nations Conference on Trade and Development,UNCTAD,"Ricupero, Rubens",Brasil
2003,United Nations Conference on Trade and Development,UNCTAD,"Ricupero, Rubens",Brasil
2004,United Nations Conference on Trade and Development,UNCTAD,"Ricupero, Rubens",Brasil
2005,United Nations Conference on Trade and Development,UNCTAD,Supachai Panitchpakdi,Tailândia
2006,United Nations Conference on Trade and Development,UNCTAD,Supachai Panitchpakdi,Tailândia
2007,United Nations Conference on Trade and Development,UNCTAD,Supachai Panitchpakdi,Tailândia
2008,United Nations Conference on Trade and Development,UNCTAD,Supachai Panitchpakdi,Tailândia
2009,United Nations Conference on Trade and Development,UNCTAD,Supachai Panitchpakdi,Tailândia
2010,United Nations Conference on Trade and Development,UNCTAD,Supachai Panitchpakdi,Tailândia
2011,United Nations Conference on Trade and Development,UNCTAD,Supachai Panitchpakdi,Tailândia
2012,United Nations Conference on Trade and Development,UNCTAD,Supachai Panitchpakdi,Tailândia
2013,United Nations Conference on Trade and Development,UNCTAD,"Kituyi, Mukhisa",Quênia
2014,United Nations Conference on Trade and Development,UNCTAD,"Kituyi, Mukhisa",Quênia
2015,United Nations Conference on Trade and Development,UNCTAD,"Kituyi, Mukhisa",Quênia
2016,United Nations Conference on Trade and Development,UNCTAD,"Kituyi, Mukhisa",Quênia
2017,United Nations Conference on Trade and Development,UNCTAD,"Kituyi, Mukhisa",Quênia
1975,United Nations Development Programme,UNDP,"Peterson, Rudolph A",Estados Unidos
1976,United Nations Development Programme,UNDP,"Morse, Frank Bradford",Estados Unidos
1977,United Nations Development Programme,UNDP,"Morse, Frank Bradford",Estados Unidos
1978,United Nations Development Programme,UNDP,"Morse, Frank Bradford",Estados Unidos
1979,United Nations Development Programme,UNDP,"Morse, Frank Bradford",Estados Unidos
1980,United Nations Development Programme,UNDP,"Morse, Frank Bradford",Estados Unidos
1981,United Nations Development Programme,UNDP,"Morse, Frank Bradford",Estados Unidos
1982,United Nations Development Programme,UNDP,"Morse, Frank Bradford",Estados Unidos
1983,United Nations Development Programme,UNDP,"Morse, Frank Bradford",Estados Unidos
1984,United Nations Development Programme,UNDP,"Morse, Frank Bradford",Estados Unidos
1985,United Nations Development Programme,UNDP,"Morse, Frank Bradford",Estados Unidos
1986,United Nations Development Programme,UNDP,"Draper, William Henry III",Estados Unidos
1987,United Nations Development Programme,UNDP,"Draper, William Henry III",Estados Unidos
1988,United Nations Development Programme,UNDP,"Draper, William Henry III",Estados Unidos
1989,United Nations Development Programme,UNDP,"Draper, William Henry III",Estados Unidos
1990,United Nations Development Programme,UNDP,"Draper, William Henry III",Estados Unidos
1991,United Nations Development Programme,UNDP,"Draper, William Henry III",Estados Unidos
1992,United Nations Development Programme,UNDP,"Draper, William Henry III",Estados Unidos
1993,United Nations Development Programme,UNDP,"Speth, James Gustave",Estados Unidos
1994,United Nations Development Programme,UNDP,"Speth, James Gustave",Estados Unidos
1995,United Nations Development Programme,UNDP,"Speth, James Gustave",Estados Unidos
1996,United Nations Development Programme,UNDP,"Speth, James Gustave",Estados Unidos
1997,United Nations Development Programme,UNDP,"Speth, James Gustave",Estados Unidos
1998,United Nations Development Programme,UNDP,"Speth, James Gustave",Estados Unidos
1999,United Nations Development Programme,UNDP,"Malloch Brown, George Mark",Reino Unido
2000,United Nations Development Programme,UNDP,"Malloch Brown, George Mark",Reino Unido
2001,United Nations Development Programme,UNDP,"Malloch Brown, George Mark",Reino Unido
2002,United Nations Development Programme,UNDP,"Malloch Brown, George Mark",Reino Unido
2003,United Nations Development Programme,UNDP,"Malloch Brown, George Mark",Reino Unido
2004,United Nations Development Programme,UNDP,"Malloch Brown, George Mark",Reino Unido
2005,United Nations Development Programme,UNDP,"Derviş, Kemal",Turquia
2006,United Nations Development Programme,UNDP,"Derviş, Kemal",Turquia
2007,United Nations Development Programme,UNDP,"Derviş, Kemal",Turquia
2008,United Nations Development Programme,UNDP,"Derviş, Kemal",Turquia
2009,United Nations Development Programme,UNDP,"Clark, Helen Elizabeth",Nova Zelândia
2010,United Nations Development Programme,UNDP,"Clark, Helen Elizabeth",Nova Zelândia
2011,United Nations Development Programme,UNDP,"Clark, Helen Elizabeth",Nova Zelândia
2012,United Nations Development Programme,UNDP,"Clark, Helen Elizabeth",Nova Zelândia
2013,United Nations Development Programme,UNDP,"Clark, Helen Elizabeth",Nova Zelândia
2014,United Nations Development Programme,UNDP,"Clark, Helen Elizabeth",Nova Zelândia
2015,United Nations Development Programme,UNDP,"Clark, Helen Elizabeth",Nova Zelândia
2016,United Nations Development Programme,UNDP,"Clark, Helen Elizabeth",Nova Zelândia
2017,United Nations Development Programme,UNDP,"Steiner, Achim",Alemanha
1975,United Nations Environment Programme,UNEP,"Tolba, Mostafa Kamal",Egito
1976,United Nations Environment Programme,UNEP,"Tolba, Mostafa Kamal",Egito
1977,United Nations Environment Programme,UNEP,"Tolba, Mostafa Kamal",Egito
1978,United Nations Environment Programme,UNEP,"Tolba, Mostafa Kamal",Egito
1979,United Nations Environment Programme,UNEP,"Tolba, Mostafa Kamal",Egito
1980,United Nations Environment Programme,UNEP,"Tolba, Mostafa Kamal",Egito
1981,United Nations Environment Programme,UNEP,"Tolba, Mostafa Kamal",Egito
1982,United Nations Environment Programme,UNEP,"Tolba, Mostafa Kamal",Egito
1983,United Nations Environment Programme,UNEP,"Tolba, Mostafa Kamal",Egito
1984,United Nations Environment Programme,UNEP,"Tolba, Mostafa Kamal",Egito
1985,United Nations Environment Programme,UNEP,"Tolba, Mostafa Kamal",Egito
1986,United Nations Environment Programme,UNEP,"Tolba, Mostafa Kamal",Egito
1987,United Nations Environment Programme,UNEP,"Tolba, Mostafa Kamal",Egito
1988,United Nations Environment Programme,UNEP,"Tolba, Mostafa Kamal",Egito
1989,United Nations Environment Programme,UNEP,"Tolba, Mostafa Kamal",Egito
1990,United Nations Environment Programme,UNEP,"Tolba, Mostafa Kamal",Egito
1991,United Nations Environment Programme,UNEP,"Tolba, Mostafa Kamal",Egito
1992,United Nations Environment Programme,UNEP,"Tolba, Mostafa Kamal",Egito
1993,United Nations Environment Programme,UNEP,"Dowdswell, Elizabeth",Canadá
1994,United Nations Environment Programme,UNEP,"Dowdswell, Elizabeth",Canadá
1995,United Nations Environment Programme,UNEP,"Dowdswell, Elizabeth",Canadá
1996,United Nations Environment Programme,UNEP,"Dowdswell, Elizabeth",Canadá
1997,United Nations Environment Programme,UNEP,"Dowdswell, Elizabeth",Canadá
1998,United Nations Environment Programme,UNEP,"Töpfer, Klaus",Alemanha
1999,United Nations Environment Programme,UNEP,"Töpfer, Klaus",Alemanha
2000,United Nations Environment Programme,UNEP,"Töpfer, Klaus",Alemanha
2001,United Nations Environment Programme,UNEP,"Töpfer, Klaus",Alemanha
2002,United Nations Environment Programme,UNEP,"Töpfer, Klaus",Alemanha
2003,United Nations Environment Programme,UNEP,"Töpfer, Klaus",Alemanha
2004,United Nations Environment Programme,UNEP,"Töpfer, Klaus",Alemanha
2005,United Nations Environment Programme,UNEP,"Töpfer, Klaus",Alemanha
2006,United Nations Environment Programme,UNEP,"Steiner, Achim",Alemanha
2007,United Nations Environment Programme,UNEP,"Steiner, Achim",Alemanha
2008,United Nations Environment Programme,UNEP,"Steiner, Achim",Alemanha
2009,United Nations Environment Programme,UNEP,"Steiner, Achim",Alemanha
2010,United Nations Environment Programme,UNEP,"Steiner, Achim",Alemanha
2011,United Nations Environment Programme,UNEP,"Steiner, Achim",Alemanha
2012,United Nations Environment Programme,UNEP,"Steiner, Achim",Alemanha
2013,United Nations Environment Programme,UNEP,"Steiner, Achim",Alemanha
2014,United Nations Environment Programme,UNEP,"Steiner, Achim",Alemanha
2015,United Nations Environment Programme,UNEP,"Steiner, Achim",Alemanha
2016,United Nations Environment Programme,UNEP,"Solheim, Erik",Noruega
2017,United Nations Environment Programme,UNEP,"Solheim, Erik",Noruega
1975,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"M’Bow, Amadou Mahtar",Senegal
1976,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"M’Bow, Amadou Mahtar",Senegal
1977,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"M’Bow, Amadou Mahtar",Senegal
1978,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"M’Bow, Amadou Mahtar",Senegal
1979,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"M’Bow, Amadou Mahtar",Senegal
1980,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"M’Bow, Amadou Mahtar",Senegal
1981,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"M’Bow, Amadou Mahtar",Senegal
1982,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"M’Bow, Amadou Mahtar",Senegal
1983,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"M’Bow, Amadou Mahtar",Senegal
1984,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"M’Bow, Amadou Mahtar",Senegal
1985,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"M’Bow, Amadou Mahtar",Senegal
1986,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"M’Bow, Amadou Mahtar",Senegal
1987,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Mayor, Federico",Espanha
1988,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Mayor, Federico",Espanha
1989,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Mayor, Federico",Espanha
1990,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Mayor, Federico",Espanha
1991,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Mayor, Federico",Espanha
1992,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Mayor, Federico",Espanha
1993,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Mayor, Federico",Espanha
1994,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Mayor, Federico",Espanha
1995,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Mayor, Federico",Espanha
1996,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Mayor, Federico",Espanha
1997,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Mayor, Federico",Espanha
1998,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Mayor, Federico",Espanha
1999,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Matsuura, Koichiro",Japão
2000,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Matsuura, Koichiro",Japão
2001,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Matsuura, Koichiro",Japão
2002,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Matsuura, Koichiro",Japão
2003,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Matsuura, Koichiro",Japão
2004,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Matsuura, Koichiro",Japão
2005,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Matsuura, Koichiro",Japão
2006,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Matsuura, Koichiro",Japão
2007,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Matsuura, Koichiro",Japão
2008,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Matsuura, Koichiro",Japão
2009,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Bokova, Irina",Bulgária
2010,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Bokova, Irina",Bulgária
2011,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Bokova, Irina",Bulgária
2012,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Bokova, Irina",Bulgária
2013,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Bokova, Irina",Bulgária
2014,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Bokova, Irina",Bulgária
2015,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Bokova, Irina",Bulgária
2016,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Bokova, Irina",Bulgária
2017,"United Nations Educational, Scientific and Cultural Organization",UNESCO,"Azoulay, Audrey",França
1975,United Nations Fund for Population Activities,UNFPA,"Salas, Rafael Montinola",Filipinas
1976,United Nations Fund for Population Activities,UNFPA,"Salas, Rafael Montinola",Filipinas
1977,United Nations Fund for Population Activities,UNFPA,"Salas, Rafael Montinola",Filipinas
1978,United Nations Fund for Population Activities,UNFPA,"Salas, Rafael Montinola",Filipinas
1979,United Nations Fund for Population Activities,UNFPA,"Salas, Rafael Montinola",Filipinas
1980,United Nations Fund for Population Activities,UNFPA,"Salas, Rafael Montinola",Filipinas
1981,United Nations Fund for Population Activities,UNFPA,"Salas, Rafael Montinola",Filipinas
1982,United Nations Fund for Population Activities,UNFPA,"Salas, Rafael Montinola",Filipinas
1983,United Nations Fund for Population Activities,UNFPA,"Salas, Rafael Montinola",Filipinas
1984,United Nations Fund for Population Activities,UNFPA,"Salas, Rafael Montinola",Filipinas
1985,United Nations Fund for Population Activities,UNFPA,"Salas, Rafael Montinola",Filipinas
1986,United Nations Fund for Population Activities,UNFPA,"Salas, Rafael Montinola",Filipinas
1987,United Nations Population Fund,UNFPA,"Sadik, Nafis",Paquistão
1988,United Nations Population Fund,UNFPA,"Sadik, Nafis",Paquistão
1989,United Nations Population Fund,UNFPA,"Sadik, Nafis",Paquistão
1990,United Nations Population Fund,UNFPA,"Sadik, Nafis",Paquistão
1991,United Nations Population Fund,UNFPA,"Sadik, Nafis",Paquistão
1992,United Nations Population Fund,UNFPA,"Sadik, Nafis",Paquistão
1993,United Nations Population Fund,UNFPA,"Sadik, Nafis",Paquistão
1994,United Nations Population Fund,UNFPA,"Sadik, Nafis",Paquistão
1995,United Nations Population Fund,UNFPA,"Sadik, Nafis",Paquistão
1996,United Nations Population Fund,UNFPA,"Sadik, Nafis",Paquistão
1997,United Nations Population Fund,UNFPA,"Sadik, Nafis",Paquistão
1998,United Nations Population Fund,UNFPA,"Sadik, Nafis",Paquistão
1999,United Nations Population Fund,UNFPA,"Sadik, Nafis",Paquistão
2000,United Nations Population Fund,UNFPA,"Sadik, Nafis",Paquistão
2001,United Nations Population Fund,UNFPA,"Obaid, Thoraya Ahmed",Arábia Saudita
2002,United Nations Population Fund,UNFPA,"Obaid, Thoraya Ahmed",Arábia Saudita
2003,United Nations Population Fund,UNFPA,"Obaid, Thoraya Ahmed",Arábia Saudita
2004,United Nations Population Fund,UNFPA,"Obaid, Thoraya Ahmed",Arábia Saudita
2005,United Nations Population Fund,UNFPA,"Obaid, Thoraya Ahmed",Arábia Saudita
2006,United Nations Population Fund,UNFPA,"Obaid, Thoraya Ahmed",Arábia Saudita
2007,United Nations Population Fund,UNFPA,"Obaid, Thoraya Ahmed",Arábia Saudita
2008,United Nations Population Fund,UNFPA,"Obaid, Thoraya Ahmed",Arábia Saudita
2009,United Nations Population Fund,UNFPA,"Obaid, Thoraya Ahmed",Arábia Saudita
2010,United Nations Population Fund,UNFPA,"Obaid, Thoraya Ahmed",Arábia Saudita
2011,United Nations Population Fund,UNFPA,"Osotimehin, Babatunde",Nigéria
2012,United Nations Population Fund,UNFPA,"Osotimehin, Babatunde",Nigéria
2013,United Nations Population Fund,UNFPA,"Osotimehin, Babatunde",Nigéria
2014,United Nations Population Fund,UNFPA,"Osotimehin, Babatunde",Nigéria
2015,United Nations Population Fund,UNFPA,"Osotimehin, Babatunde",Nigéria
2016,United Nations Population Fund,UNFPA,"Osotimehin, Babatunde",Nigéria
2017,United Nations Population Fund,UNFPA,"Kanem, Natalia",Panamá
2000,United Nations Human Settlements Programme,UNHABITAT,"Tibaijuka, Anna Kajumulo",Tanzânia
2001,United Nations Human Settlements Programme,UNHABITAT,"Tibaijuka, Anna Kajumulo",Tanzânia
2002,United Nations Human Settlements Programme,UNHABITAT,"Tibaijuka, Anna Kajumulo",Tanzânia
2003,United Nations Human Settlements Programme,UNHABITAT,"Tibaijuka, Anna Kajumulo",Tanzânia
2004,United Nations Human Settlements Programme,UNHABITAT,"Tibaijuka, Anna Kajumulo",Tanzânia
2005,United Nations Human Settlements Programme,UNHABITAT,"Tibaijuka, Anna Kajumulo",Tanzânia
2006,United Nations Human Settlements Programme,UNHABITAT,"Tibaijuka, Anna Kajumulo",Tanzânia
2007,United Nations Human Settlements Programme,UNHABITAT,"Tibaijuka, Anna Kajumulo",Tanzânia
2008,United Nations Human Settlements Programme,UNHABITAT,"Tibaijuka, Anna Kajumulo",Tanzânia
2009,United Nations Human Settlements Programme,UNHABITAT,"Tibaijuka, Anna Kajumulo",Tanzânia
2010,United Nations Human Settlements Programme,UNHABITAT,"Clos, Joan",Espanha
2011,United Nations Human Settlements Programme,UNHABITAT,"Clos, Joan",Espanha
2012,United Nations Human Settlements Programme,UNHABITAT,"Clos, Joan",Espanha
2013,United Nations Human Settlements Programme,UNHABITAT,"Clos, Joan",Espanha
2014,United Nations Human Settlements Programme,UNHABITAT,"Clos, Joan",Espanha
2015,United Nations Human Settlements Programme,UNHABITAT,"Clos, Joan",Espanha
2016,United Nations Human Settlements Programme,UNHABITAT,"Clos, Joan",Espanha
2017,United Nations Human Settlements Programme,UNHABITAT,"Clos, Joan",Espanha
1975,United Nations High Commissioner for Refugees,UNHCR,"Aga Khan, Sadruddin",Irã
1976,United Nations High Commissioner for Refugees,UNHCR,"Aga Khan, Sadruddin",Irã
1977,United Nations High Commissioner for Refugees,UNHCR,"Aga Khan, Sadruddin",Irã
1978,United Nations High Commissioner for Refugees,UNHCR,"Hartling, Poul",Dinamarca
1979,United Nations High Commissioner for Refugees,UNHCR,"Hartling, Poul",Dinamarca
1980,United Nations High Commissioner for Refugees,UNHCR,"Hartling, Poul",Dinamarca
1981,United Nations High Commissioner for Refugees,UNHCR,"Hartling, Poul",Dinamarca
1982,United Nations High Commissioner for Refugees,UNHCR,"Hartling, Poul",Dinamarca
1983,United Nations High Commissioner for Refugees,UNHCR,"Hartling, Poul",Dinamarca
1984,United Nations High Commissioner for Refugees,UNHCR,"Hartling, Poul",Dinamarca
1985,United Nations High Commissioner for Refugees,UNHCR,"Hartling, Poul",Dinamarca
1986,United Nations High Commissioner for Refugees,UNHCR,"Hocké, Jean-Pierre",Suíça
1987,United Nations High Commissioner for Refugees,UNHCR,"Hocké, Jean-Pierre",Suíça
1988,United Nations High Commissioner for Refugees,UNHCR,"Hocké, Jean-Pierre",Suíça
1989,United Nations High Commissioner for Refugees,UNHCR,"Hocké, Jean-Pierre",Suíça
1990,United Nations High Commissioner for Refugees,UNHCR,"Stoltenberg, Thorvald",Noruega
1991,United Nations High Commissioner for Refugees,UNHCR,"Ogata, Sadako",Japão
1992,United Nations High Commissioner for Refugees,UNHCR,"Ogata, Sadako",Japão
1993,United Nations High Commissioner for Refugees,UNHCR,"Ogata, Sadako",Japão
1994,United Nations High Commissioner for Refugees,UNHCR,"Ogata, Sadako",Japão
1995,United Nations High Commissioner for Refugees,UNHCR,"Ogata, Sadako",Japão
1996,United Nations High Commissioner for Refugees,UNHCR,"Ogata, Sadako",Japão
1997,United Nations High Commissioner for Refugees,UNHCR,"Ogata, Sadako",Japão
1998,United Nations High Commissioner for Refugees,UNHCR,"Ogata, Sadako",Japão
1999,United Nations High Commissioner for Refugees,UNHCR,"Ogata, Sadako",Japão
